latitute,longitude,sinr,throughput
50.0006,80.0011,14.07,6037.085
50.0008,80.0012,14.12,6037.132
50.0009,80.0013,14.15,6037.145
50.0011,80.0014,14.2,6037.224
50.0012,80.0015,14.29,6037.24
50.0013,80.0016,14.37,6037.314
50.0014,80.0017,14.43,6037.367
50.0016,80.0019,14.52,6037.442
50.0017,80.0021,14.58,6037.443
50.0019,80.0022,14.63,6037.453
50.002,80.0024,14.66,6037.525
50.0022,80.0026,14.72,6037.535
50.0024,80.0027,14.75,6037.58
50.0026,80.0029,14.77,6037.659
50.0027,80.0031,14.81,6037.718
50.0029,80.0032,14.85,6037.788
50.0031,80.0034,14.93,6037.845
50.0033,80.0035,15,6037.848
50.0035,80.0037,15.08,6037.912
50.0037,80.0038,15.16,6037.965
50.0039,80.004,15.26,6037.994
50.0041,80.0041,15.27,6038.094
50.0043,80.0042,15.33,6038.154
50.0045,80.0044,15.36,6038.188
50.0047,80.0046,15.45,6038.268
50.0048,80.0048,15.54,6038.276
50.0049,80.005,15.62,6038.277
50.0051,80.0051,15.68,6038.323
50.0052,80.0053,15.76,6038.362
50.0054,80.0055,15.8,6038.419
50.0055,80.0057,15.82,6038.498
50.0057,80.0058,15.84,6038.568
50.0058,80.0059,15.89,6038.631
50.006,80.006,15.97,6038.731
50.0062,80.0061,16.07,6038.801
50.0064,80.0063,16.09,6038.828
50.0065,80.0065,16.16,6038.897
50.0067,80.0066,16.19,6038.99
50.0069,80.0067,16.27,6039.076
50.0071,80.0069,16.33,6039.104
50.0073,80.007,16.43,6039.146
50.0074,80.0072,16.48,6039.169
50.0075,80.0073,16.58,6039.255
50.0077,80.0074,16.6,6039.354
50.0079,80.0076,16.67,6039.422
50.0081,80.0078,16.73,6039.5
50.0082,80.0079,16.8,6039.516
50.0083,80.008,16.85,6039.613
50.0084,80.0081,16.89,6039.672
50.0086,80.0083,16.98,6039.768
50.0087,80.0085,17.07,6039.785
50.0089,80.0087,17.09,6039.858
50.0091,80.0089,17.13,6039.908
50.0093,80.0091,17.16,6039.914
50.0094,80.0093,17.19,6039.955
50.0095,80.0095,17.23,6039.989
50.0097,80.0097,17.33,6040.083
50.0099,80.0099,17.42,6040.162
50.01,80.0101,17.52,6040.183
50.0102,80.0102,17.62,6040.218
50.0104,80.0103,17.71,6040.283
50.0105,80.0104,17.79,6040.344
50.0106,80.0106,17.8,6040.356
50.0108,80.0107,17.85,6040.413
50.0109,80.0108,17.91,6040.485
50.011,80.0109,17.96,6040.535
50.0111,80.011,18.03,6040.61
50.0113,80.0112,18.04,6040.655
50.0115,80.0114,18.05,6040.682
50.0116,80.0116,18.14,6040.687
