latitute,longitude,sinr,throughput
37.80284427,-122.4130392,18.05,6093.036
37.80287816,-122.4130603,18.08,6093.071
37.80292262,-122.4130665,18.16,6093.169
37.80295758,-122.4130982,18.18,6093.218
37.80300998,-122.413107,18.27,6093.24
37.80305637,-122.4130952,18.3,6093.311
37.80312108,-122.4131071,18.33,6093.397
37.80320404,-122.413116,18.41,6093.481
37.80324558,-122.4131316,18.43,6093.579
37.80331291,-122.4131456,18.47,6093.622
37.80337063,-122.413162,18.51,6093.709
37.80343856,-122.4131726,18.55,6093.771
37.80348331,-122.4131934,18.64,6093.816
37.80353733,-122.4132009,18.66,6093.909
37.80357993,-122.4132137,18.74,6093.96
37.80363855,-122.4132276,18.78,6093.966
37.80369823,-122.4132459,18.79,6094.032
37.80376601,-122.413319,18.8,6094.045
37.80374679,-122.4133947,18.9,6094.13
37.80374907,-122.4134524,18.95,6094.141
37.80374522,-122.4135215,19.01,6094.173
37.80372856,-122.4135692,19.04,6094.192
37.80370478,-122.4137279,19.11,6094.238
37.8036881,-122.4138129,19.17,6094.27
37.80368075,-122.413852,19.27,6094.328
37.80368152,-122.4139124,19.35,6094.355
37.80367783,-122.413957,19.37,6094.407
37.80366943,-122.4140256,19.44,6094.471
37.80366462,-122.4141111,19.54,6094.499
37.80365617,-122.414216,19.59,6094.594
37.80362727,-122.4144069,19.64,6094.673
37.80361732,-122.4144885,19.66,6094.749
37.80360705,-122.4145816,19.7,6094.782
37.80357884,-122.4146906,19.76,6094.845
37.80349601,-122.4145762,19.78,6094.925
37.80351677,-122.4148964,19.83,6094.943
37.80347715,-122.4148546,19.88,6095.022
37.80344237,-122.4147977,19.96,6095.101
37.80340121,-122.4147464,20.02,6095.127
37.80336898,-122.4147111,20.03,6095.177
37.80320815,-122.4145219,20.12,6095.263
37.80318131,-122.4144813,20.17,6095.274
37.80315836,-122.4144327,20.26,6095.317
37.80314001,-122.4143862,20.32,6095.346
37.80311656,-122.4143333,20.33,6095.376
37.80308794,-122.4142822,20.34,6095.38
37.80307709,-122.4142618,20.37,6095.382
37.80305653,-122.4142277,20.43,6095.39
37.80304084,-122.4142054,20.53,6095.489
37.80305324,-122.4142211,20.54,6095.577
37.80302354,-122.4141491,20.57,6095.617
37.80298177,-122.4140876,20.64,6095.622
37.8029475,-122.4140392,20.68,6095.714
37.80292968,-122.4140081,20.78,6095.769
37.80289014,-122.4139667,20.84,6095.812
37.80286698,-122.4139423,20.89,6095.828
37.80283933,-122.4139486,20.91,6095.842
37.80281835,-122.4139527,20.92,6095.93
37.80278901,-122.4139907,20.95,6095.986
37.80276149,-122.414042,21.02,6096
37.80275844,-122.4141247,21.03,6096.032
37.80274058,-122.4142881,21.12,6096.079
37.8027247,-122.4144292,21.21,6096.158
37.80271187,-122.4146093,21.31,6096.244
37.80270368,-122.4147815,21.41,6096.31
37.80272907,-122.4147926,21.47,6096.366
